"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Sienna Shirred High Waist Recycled Polyester Skirt","Women","Clothing","Skirts","6806388","AWARE by VERO MODA",59.00,59.00,2.0,1,"002","2022-03-13 08:11:45"
"Zoe Midi Skirt","Women","Clothing","Skirts","6823642","Reformation",148.00,148.00,0.0,0,"400","2022-03-13 08:11:45"
"Velvet Flare Skirt","Women","Clothing","Skirts","5705861","CeCe",69.00,69.00,1.0,1,"004","2022-03-13 08:11:45"
"Elii A-Line Faux Leather Midi Skirt","Women","Clothing","Skirts","5808521","Ted Baker London",259.00,259.00,0.0,0,"410","2022-03-13 08:11:45"
"Women's Pleated Miniskirt","Women","Clothing","Skirts","5818595","BP.",21.97,45.00,0.0,0,"660","2022-03-13 08:11:45"
"Smocked 2-in-1 Maternity Skirt","Women","Clothing","Skirts","5854631","Ingrid & Isabel®",88.00,88.00,0.0,0,"001","2022-03-13 08:11:45"
"St. Lucia Linen Blend Sarong Skirt","Women","Clothing","Skirts","5869363","Tommy Bahama",89.50,89.50,3.0,1,"400","2022-03-13 08:11:45"
"Court Victory Tennis Skirt","Women","Clothing","Skirts","5886786","Nike",50.00,50.00,0.0,0,"010","2022-03-13 08:11:45"
"The Goddess Two-Piece Top and Skirt Set","Women","Clothing","Skirts","5909245","Zelie for She",74.50,149.00,0.0,0,"650","2022-03-13 08:11:45"
"Ribbed Cotton & Cashmere Skirt","Women","Clothing","Skirts","5916500","Favorite Daughter",178.00,178.00,5.0,1,"002","2022-03-13 08:11:45"
"Shirred Miniskirt","Women","Clothing","Skirts","5934004","Endless Rose",70.00,70.00,0.0,0,"100","2022-03-13 08:11:45"
"Denim Miniskirt","Women","Clothing","Skirts","5942730","Lee",68.00,68.00,0.0,0,"428","2022-03-13 08:11:45"
"Palm Print Silk Charmeuse Slip Skirt","Women","Clothing","Skirts","5960338","ATM Anthony Thomas Melillo",210.00,350.00,0.0,0,"691","2022-03-13 08:11:45"
"Hawaii Rose Tiered Midi Skirt","Women","Clothing","Skirts","5960878","Lost + Wander",88.00,88.00,0.0,0,"540","2022-03-13 08:11:45"
"Isadora Front Slit Cashmere Skirt","Women","Clothing","Skirts","6016976","RtA",270.00,450.00,0.0,0,"001","2022-03-13 08:11:45"
"Midi Sweater Skirt","Women","Clothing","Skirts","6090034","Halogen®",79.00,79.00,0.0,0,"001","2022-03-13 08:11:45"
"Cove Ribbed Asymmetric Skirt","Women","Clothing","Skirts","6137303","ALIX NYC",78.00,195.00,0.0,0,"800","2022-03-13 08:11:45"
"Midi Patch Denim Skirt","Women","Clothing","Skirts","6397281","elevenparis",135.00,135.00,0.0,0,"400","2022-03-13 08:11:45"
"Pleated Asymmetric Faux Leather Skirt","Women","Clothing","Skirts","6406978","Vince Camuto",119.00,119.00,0.0,0,"932","2022-03-13 08:11:45"
"Luxe Wool & Cashmere Cable Knit Sweater Skirt","Women","Clothing","Skirts","6428516","ATM Anthony Thomas Melillo",118.00,295.00,0.0,0,"052","2022-03-13 08:11:45"
"Croc Print Pleated Skirt","Women","Clothing","Skirts","6444851","Vince Camuto",99.00,99.00,0.0,0,"002","2022-03-13 08:11:45"
"Cassi Miniskirt","Women","Clothing","Skirts","6473544","ba&sh",135.00,225.00,0.0,0,"020","2022-03-13 08:11:45"
"Joellee Leather A-Line Skirt","Women","Clothing","Skirts","6479261","Ted Baker London",295.00,295.00,0.0,0,"001","2022-03-13 08:11:45"
"Gonna Ruched Mesh Skirt","Women","Clothing","Skirts","6479306","Fuzzi",325.00,325.00,0.0,0,"670","2022-03-13 08:11:45"
"Front Slit Knee Length Skirt","Women","Clothing","Skirts","6492335","Amy Lynn",89.00,89.00,0.0,0,"050","2022-03-13 08:11:45"
"Herst Ruched Silk Velvet Skirt","Women","Clothing","Skirts","6495129","Veronica Beard",297.00,495.00,1.0,1,"001","2022-03-13 08:11:45"
"Animal Print Pleated Skirt","Women","Clothing","Skirts","6498406","City Chic",55.30,79.00,0.0,0,"200","2022-03-13 08:11:45"
"Check Miniskirt","Women","Clothing","Skirts","6500618","En Saison",78.00,78.00,0.0,0,"001","2022-03-13 08:11:45"
"Flutey Wool Blend Skirt","Women","Clothing","Skirts","6502968","Rebecca Taylor",475.00,475.00,0.0,0,"145","2022-03-13 08:11:45"
"Pleated Midi Skirt","Women","Clothing","Skirts","6529007","Anne Klein",99.00,99.00,0.0,0,"100","2022-03-13 08:11:45"
"Boutique Skyline Bralette & Maxi Skirt","Women","Clothing","Skirts","6529502","S/W/F",286.80,478.00,0.0,0,"314","2022-03-13 08:11:45"
"Check Miniskirt","Women","Clothing","Skirts","6540569","English Factory",70.00,70.00,0.0,0,"664","2022-03-13 08:11:45"
"Maxi Pluto Skirt","Women","Clothing","Skirts","6542029","Simon Miller",215.00,215.00,0.0,0,"200","2022-03-13 08:11:45"
"Penny Pleated Midi Skirt","Women","Clothing","Skirts","6543831","Marine Layer",88.00,110.00,0.0,0,"010","2022-03-13 08:11:45"
"Palma Smocked Cover-Up Skirt","Women","Clothing","Skirts","6545819","Isabella Rose",58.00,58.00,0.0,0,"950","2022-03-13 08:11:45"
"Wool Blend Maxi Skirt","Women","Clothing","Skirts","6547847","& Other Stories",119.00,119.00,5.0,1,"250","2022-03-13 08:11:45"
"Carola Ruched Velveteen Shirt","Women","Clothing","Skirts","6548202","VERO MODA",32.00,32.00,0.0,0,"001","2022-03-13 08:11:45"
"Glorious Sequin Miniskirt","Women","Clothing","Skirts","6550574","VERO MODA",69.00,69.00,0.0,0,"001","2022-03-13 08:11:45"
"Cappucine Faux Leather Wrap Skirt","Women","Clothing","Skirts","6550763","4th & Reckless",50.00,50.00,2.3,3,"211","2022-03-13 08:11:45"
"Plaid Cotton & Linen Balloon Skirt","Women","Clothing","Skirts","6554565","Lisa Marie Fernandez",695.00,695.00,0.0,0,"100","2022-03-13 08:11:45"
"Pippin Quilt Miniskirt","Women","Clothing","Skirts","6555258","Sea",325.00,325.00,0.0,0,"100","2022-03-13 08:11:45"
"Windward Terry Cloth Cover-Up Skirt","Women","Clothing","Skirts","6562248","Frankies Bikinis",90.00,90.00,0.0,0,"453","2022-03-13 08:11:45"
"Car Wash Leather Miniskirt","Women","Clothing","Skirts","6563175","Ganni",375.00,375.00,0.0,0,"001","2022-03-13 08:11:45"
