"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Men's G-III Sports by Carl Banks Navy Seattle Seahawks Perfect Season Full-Zip Hoodie","Men","Clothing","Sweaters","6861431","G-III SPORTS BY CARL BANKS",69.99,69.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's Colosseum Black Clemson Tigers OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6861460","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Maryland Terrapins OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6861474","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Colosseum Black Auburn Tigers OHT Military Appreciation Waffle Full-Zip Hoodie","Men","Clothing","Sweaters","6861605","COLOSSEUM",59.99,59.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Fanatics Branded Aqua Miami Dolphins Defender Full-Zip Hoodie Jacket","Men","Clothing","Sweaters","6864977","FANATICS",69.99,69.99,0.0,0,"440","2022-03-13 08:11:45"
"Ocean Crewneck Colorblock Wool Blend Sweater","Men","Clothing","Sweaters","5729410","Tommy Bahama",228.00,228.00,0.0,0,"600","2022-03-13 08:11:45"
"Sedona Rib Wool Blend Crewneck Sweater","Men","Clothing","Sweaters","6557787","Robert Barakett",165.00,165.00,0.0,0,"001","2022-03-13 08:11:45"
"Men's FOCO Navy Dallas Cowboys Light-Up Ugly Sweater","Men","Clothing","Sweaters","6704111","FOCO",79.99,79.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's Mitchell & Ness Blue New York Knicks Hardwood Classics Hometown Champs Pullover Sweater","Men","Clothing","Sweaters","6740270","Mitchell & Ness",89.99,89.99,0.0,0,"400","2022-03-13 08:11:45"
"Men's Mitchell & Ness Kelly Green Dallas Mavericks Hardwood Classics Hometown Champs Pullover Sweater","Men","Clothing","Sweaters","6740684","Mitchell & Ness",89.99,89.99,0.0,0,"304","2022-03-13 08:11:45"
"Men's Concepts Sport Red Washington Capitals Meter Jogger Set","Men","Clothing","Sweaters","6756052","CONCEPTS SPORT",79.99,79.99,0.0,0,"600","2022-03-13 08:11:45"
"Men's Concepts Sport Blue Tampa Bay Lightning Meter Jogger Set","Men","Clothing","Sweaters","6756889","CONCEPTS SPORT",79.99,79.99,0.0,0,"400","2022-03-13 08:11:45"
"Men's Concepts Sport Royal New York Islanders Meter Jogger Set","Men","Clothing","Sweaters","6757067","CONCEPTS SPORT",79.99,79.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's Concepts Sport Black Philadelphia Flyers Meter Jogger Set","Men","Clothing","Sweaters","6759635","CONCEPTS SPORT",79.99,79.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's Fanatics Branded Navy Tennessee Titans Game Time Arch Pullover Sweatshirt","Men","Clothing","Sweaters","6766614","FANATICS",59.99,59.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's Concepts Sport Navy Toronto Maple Leafs Meter Jogger Set","Men","Clothing","Sweaters","6768730","CONCEPTS SPORT",79.99,79.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's Antigua Red/Heathered Gray Washington Capitals Pastime Henley Pullover Sweater","Men","Clothing","Sweaters","6780164","ANTIGUA",65.99,65.99,0.0,0,"600","2022-03-13 08:11:45"
"Men's Nike Light Blue/Red Houston Oilers Historic Raglan Crew Performance Sweater","Men","Clothing","Sweaters","6781256","Nike",69.99,69.99,0.0,0,"450","2022-03-13 08:11:45"
"Men's adidas Charcoal Vegas Golden Knights Logo AEROREADY Pullover Sweater","Men","Clothing","Sweaters","6781265","adidas",119.99,119.99,5.0,2,"010","2022-03-13 08:11:45"
